nt_pos	gene	strand	log2_ratio_EKDAtc2EKDnoAtc	log2_ratio_conAtc2connoAtc
1455	MSMEG_0001	plus	-0.0217127159209599	0.0494593156058041
1493	MSMEG_0001	plus	-0.0628715880765387	-0.0154757746148262
1505	MSMEG_0001	plus	0.000882521213074626	-0.0628818864359808
1649	MSMEG_0001	plus	-0.0140327429211899	0.0235386210443433
1663	MSMEG_0001	plus	-0.0684035764816785	0.0379019017782552
1666	MSMEG_0001	plus	-0.0911135688235633	0.0329331104508013
5127	MSMEG_0005	plus	0.0211344450607751	0.0832192072472537
5265	MSMEG_0005	plus	0.0221624556716881	0.0867804519350179
5377	MSMEG_0005	plus	-0.0400379160207577	0.193516542425549
6652	MSMEG_0006	plus	0.259441226353919	-0.101890294638179
6926	MSMEG_0006	plus	0.00771615260866623	-0.0941521577386802
8195	MSMEG_0006	plus	0.0672596881347012	0.107586996833672
9502	MSMEG_0007	plus	-1.06518448970558	0.0617960894583367
9515	MSMEG_0007	plus	-1.05531528531703	0.0981147732873057
9568	MSMEG_0007	plus	-1.2172171330081	0.0813463688953911
45242	MSMEG_0024	plus	-0.467362031637191	0.00510190080672552
47914	MSMEG_0029	plus	0.0194610780732428	0.192755860594232
48326	MSMEG_0028	minus	0.202642003837205	0.199094230556771
48767	MSMEG_0028	minus	-0.00021030381384132	0.0915047391437087
48840	MSMEG_0028	minus	-0.216928096032865	-0.101943254095621
48946	MSMEG_0028	minus	0.0813253678003559	-0.0176474863701519
48991	MSMEG_0028	minus	0.0559259260654906	-0.0544337770879249
49161	MSMEG_0028	minus	-0.126292286902422	-0.175622771146424
49271	MSMEG_0028	minus	0.17884075331822	-0.0354178992373781
49881	MSMEG_0028	minus	0.0594511536794868	-0.0841738853913872
49941	MSMEG_0028	minus	-0.0387733502150116	-0.084699991844683
50144	MSMEG_0030	minus	-0.631795570654142	-0.0426722249424513
50224	MSMEG_0030	minus	-0.426898833945884	-0.0252071882580889
50282	MSMEG_0030	minus	-0.406834521679694	-0.117769716979011
50425	MSMEG_0030	minus	0.31917338185829	-0.0952011974252274
50582	MSMEG_0030	minus	0.447938237180906	-0.105199946085067
50618	MSMEG_0030	minus	0.402710767513825	-0.10398092337446
50652	MSMEG_0030	minus	0.408613730962548	-0.0125871620795575
51038	MSMEG_0030	minus	-0.125616360932275	0.0680032203443447
51179	MSMEG_0030	minus	-0.0759504919967395	-0.0777776555735972
51592	MSMEG_0031	minus	0.0535327476188143	0.000498622502988914
51720	MSMEG_0031	minus	0.260371953935008	0.0804474902834418
51747	MSMEG_0031	minus	0.344353823520284	-0.0476596888635396
51777	MSMEG_0031	minus	0.286974833594021	-0.070690879452675
52207	MSMEG_0031	minus	0.100849313084897	-0.203052845914783
52286	MSMEG_0031	minus	0.121480647568229	-0.220179097155408
52491	MSMEG_0031	minus	-0.460347511464972	0.00524696390694068
52773	MSMEG_0031	minus	-0.35202055076702	-0.0121634796676557
53531	MSMEG_0032	minus	0.26967247099903	0.00717979898831442
53825	MSMEG_0032	minus	-0.116090243619174	-0.0622629847083663
54264	MSMEG_0032	minus	0.227811673139641	0.0475862158543598
54347	MSMEG_0033	minus	0.230619791285492	0.118136069997153
54366	MSMEG_0033	minus	0.311095972324596	0.100386736956528
54433	MSMEG_0033	minus	0.0518350511667797	0.277272322820597
54634	MSMEG_0033	minus	-0.209044079893249	0.0133816506347075
54972	MSMEG_0033	minus	0.284204331542062	-0.181394934267956
55031	MSMEG_0033	minus	0.303045956637519	0.0040640503259141
55087	MSMEG_0033	minus	0.483412245081796	-0.0130598109980905
55123	MSMEG_0033	minus	0.365254019151721	-0.0349629917329684
55255	MSMEG_0033	minus	0.05476056490699	0.0504616622271332
55268	MSMEG_0033	minus	0.0471378313428814	0.0519859744538354
55285	MSMEG_0033	minus	0.011424683876069	0.0789671208505294
55348	MSMEG_0033	minus	0.0659351396511886	0.0146601189301554
55403	MSMEG_0033	minus	0.124105675600162	-0.0273631439434719
55533	MSMEG_0033	minus	0.0141102187442909	0.0313888463304403
56953	MSMEG_0035	minus	-0.343381132432497	-0.134604767802424
56990	MSMEG_0035	minus	-0.223058466331248	-0.197174686973448
57020	MSMEG_0035	minus	-0.16822690374812	-0.197542555616764
57467	MSMEG_0035	minus	0.45818576008408	-0.0905566970024517
57535	MSMEG_0035	minus	0.666641951695925	-0.100006231765583
61748	MSMEG_0044	plus	0.7806521836646	0.52796825297018
61816	MSMEG_0044	plus	0.1488148996902	0.627852122923751
61856	MSMEG_0044	plus	-0.0377728863620197	0.18776884113377
65035	MSMEG_0045	plus	0.418787097850559	0.0865026398667147
65788	MSMEG_0045	plus	-0.33278334193267	0.0607850855127142
66051	MSMEG_0046	plus	0.521007195524443	0.161738300519965
66361	MSMEG_0046	plus	-0.0359396758010401	-0.161563725136413
66425	MSMEG_0046	plus	-0.0143189513671277	-0.247640516260749
