nt_pos	gene	strand	log2_ratio_EKDAtc2EKDnoAtc	log2_ratio_conAtc2connoAtc
1152	MSMEG_0001	plus	-0.103183607672333	0.0387581765307882
1573	MSMEG_0001	plus	-0.0554722825037341	-0.0273675738682117
1652	MSMEG_0001	plus	-0.0347686465817679	0.0512148002943525
1656	MSMEG_0001	plus	-0.066514375687912	0.0217636580317987
2294	MSMEG_0002	plus	0.135843021771208	-0.118121555156375
4041	MSMEG_0004	plus	0.179796485531197	-0.101095780766498
4161	MSMEG_0004	plus	-0.140053923305488	-0.0820737584862125
5135	MSMEG_0005	plus	-0.0211379914663035	0.145567518594288
9876	MSMEG_0007	plus	-1.25191191656709	-0.103132488257497
42269	MSMEG_0020	minus	-0.155403298002737	0.244146907249506
45232	MSMEG_0024	plus	-0.463792559853531	0.00192432337977635
48333	MSMEG_0028	minus	0.190635747764467	0.18386153553497
48534	MSMEG_0028	minus	-0.262874841160017	0.115214603433206
49467	MSMEG_0028	minus	0.380053154012842	-0.0244013618698613
50046	MSMEG_0028	minus	-0.351098114192446	-0.08093787132921
50153	MSMEG_0030	minus	-0.482582965469041	-0.0264385056550691
50158	MSMEG_0030	minus	-0.447786964612921	-0.0530849182273815
50237	MSMEG_0030	minus	-0.395928370965929	-0.0360011470893524
50361	MSMEG_0030	minus	-0.134496361337528	-0.0751830996549263
50386	MSMEG_0030	minus	0.0767123411219775	-0.126843749724425
51727	MSMEG_0031	minus	0.294686991333177	0.0469999199742682
51759	MSMEG_0031	minus	0.394396147290391	-0.0380770468188617
51823	MSMEG_0031	minus	0.453429154560042	-0.0330441626473237
51965	MSMEG_0031	minus	0.0318779045867651	0.106450825934696
54152	MSMEG_0032	minus	-0.0702422775271837	0.0454250103987452
54332	MSMEG_0033	minus	0.0190243390495074	0.0965785383025142
54353	MSMEG_0033	minus	0.269550267235386	0.139788583103373
54518	MSMEG_0033	minus	-0.195430826642632	0.0399764549279758
54829	MSMEG_0033	minus	0.036001699414636	-0.0234498345209484
55296	MSMEG_0033	minus	0.0089579063139469	0.0639123356745067
61668	MSMEG_0044	plus	0.388861148579888	0.206783616298512
61964	MSMEG_0044	plus	-0.0430233162320054	-0.106878305809314
62493	MSMEG_0044	plus	-0.184580362622083	-0.0142803730145438
62705	MSMEG_0044	plus	0.0850932990770546	-0.0523250122819346
65950	MSMEG_0045	plus	-0.290951226998875	0.23950761163206
67849	MSMEG_0047	minus	-0.144452993932467	-0.0306941656252476
69940	MSMEG_0050	plus	0.220423826666948	-0.123040496703692
73760	MSMEG_0053	minus	-0.740538632755169	-0.232835877408141
73855	MSMEG_0053	minus	-0.0187844873018349	-0.149325842587814
73865	MSMEG_0053	minus	0.106469130078367	-0.235189091107704
75889	MSMEG_0055	plus	-0.309896887755317	-0.0103255934333033
76100	MSMEG_0055	plus	-0.204530597781486	0.0241281125394635
76485	MSMEG_0056	plus	0.0974750991992779	0.188318340815535
82442	MSMEG_0061	plus	-0.258479778982876	0.0753856802592269
82915	MSMEG_0061	plus	-0.00797468315683712	0.155017048827248
83037	MSMEG_0061	plus	0.0062631279433764	0.0414431246811227
